name,description,displayKey,active,editable,isGroupingRole,groupingParent
Lab Staff,Grouping role for all laboratory staff,role.lab.staff,Y,N,Y,
Lab Technician,Basic laboratory technician role,role.lab.technician,Y,Y,N,Lab Staff
Results Validator,Can validate and approve test results,role.results.validator,Y,Y,N,Lab Staff
Sample Collector,Authorized to collect patient samples,role.sample.collector,Y,Y,N,Lab Staff
Lab Supervisor,Laboratory supervisor with extended permissions,role.lab.supervisor,Y,Y,N,Lab Staff
Quality Control Officer,Manages quality control and assurance,role.qc.officer,Y,Y,N,
Surveillance,Grouping role for all surveillance module users,role.surveillance,Y,N,Y,
Coordinator,"Have full access to the surveillance module, receive all automated alert notifications, manage alert investigation and closure, configure surveillance settings including notifiable diseases thresholds and parameters, view and manage the surveillance dashboard, receive alert notifications (email dashboard), investigate and manage alerts, export line lists and reports, manage SKDR integration settings, view transmission logs, generate and distribute bulletins",role.surveillance.coordinator,Y,Y,N,Surveillance
Laboratory Analyst,"Viewing surveillance priority indicators, receiving notifications for surveillance-related samples, entering and validating laboratory test results, not having permission to modify surveillance configurations or thresholds",role.surveillance.lab_analyst,Y,Y,N,Surveillance
Public Health,"Read-only access to surveillance data and dashboards, receiving periodic summary bulletins, exporting surveillance data for further analysis, not being able to modify alerts configurations or system settings",role.surveillance.public_health,Y,Y,N,Surveillance
System SKDR,"Retrieve surveillance-related information from SKDR including field-reported indicators and alerts, transmit laboratory-confirmed surveillance data back to SKDR in standardized IBS and EBS formats, maintain synchronization logs for data exchange activities",role.surveillance.skdr_system,Y,Y,N,Surveillance
